"position","abssum1","abssum2","abssum3","abssum4","abssum5","abssum6","abssum7","abssum8","abssum9","abssum10","abssum11","abssum12","abssum13","abssum14","abssum15","abssum16","abssum17","abssum18","abssum19","abssum20","abssum21","abssum22","abssum23","abssum24","abssum25","abssum26","abssum27","abssum28","abssum29","abssum30","abssum31","abssum32","abssum33","abssum34","abssum35","abssum36","abssum37","abssum38","abssum39","abssum40","abssum41","abssum42","abssum43","abssum44","abssum45","abssum46","abssum47","abssum48","abssum49","abssum50"
1,0.00797846517525613,0.00478444137843326,0.00289297965355217,0.0062110316939652,0.00405346928164363,0.00167159817647189,0.00167159817647189,0.0014929678873159,0,0.00363205722533166,0.00666514597833157,0.00438640720676631,0.0103295892477036,0.00220466809696518,0.00766046508215368,0.00734532042406499,0.0014929678873159,0.00677295331843197,0.00076055433601141,0.00728888320736587,0.00140648288652301,0.00693805026821792,0,0.00179185654269531,0.00685518654063344,0.00430232053622603,0.00217828596942127,0.00363205722533166,0,0.000617456447798759,0.000523648952366784,0.000276886443316471,0,8.02966314950027e-05,0.000135688540467527,0.000303015011013485,7.47288286220282e-05,0.000133446068502963,0,0.000207781671633711,8.86025882209651e-05,0,0,0.00220973018440418,0.000422489509219304,0,0.000258415020653047,0,0,9.21067385206698e-05
2,0,0.00420772767392918,0.00257864047307521,0.00541037277434953,0.00789774744771421,0.00381995504721999,0.00381995504721999,0.00122108601499349,0.00226657761959359,0.00375211023492739,0.00786305451765656,0.0040641771920491,0.0107550085522234,0,0.00625231210142374,0.0109107028692961,0.00122108601499349,0.00541483447887003,0,0.0108552598394454,0.0040028725634329,0.00748736457899213,0.00307627022266388,0.00818602461367846,0.00813127285800874,0.00616677885409445,0,0.00375211023492739,8.53324454510584e-05,0.000903157197171822,0.000328238995280117,0.000207167773623951,0,3.96210621147475e-05,1.3227133649707e-05,0.00029631081270054,0,3.44336206126172e-06,8.67825910972897e-05,0.000113283984319423,0.000135278176458087,0.000638015146250837,0,0.000991188775515184,0.000657222990412265,0.000101059620646993,0.000244401140662376,0,0.00033849838655442,0.000153543955093483
3,0.00650837388820946,0.00402384344488382,0.00651840213686228,0.00444247631821781,0.00248295185156167,0.00118473294423893,0.00118473294423893,0.00201184104662389,0.0163602055981755,0.00456773143378086,0.00801492994651198,0.00676168676000088,0.00894609116949141,0.00312849582405761,0.00499400682747364,0.00393616268411279,0.00201184104662389,0.0037918574817013,0,0.0033725454704836,0.00374451151583344,0.0100453023333102,0.0131108823698014,0.0130880924407393,0.00844122347189113,0.00747521576704457,0.00313731777714565,0.00456773143378086,0.000191786617506295,0.000999615920591168,0,0.000961387995630503,0.00622612470760942,9.99575931928121e-05,0.000127579594391136,0.000239744040300138,0.000199819758563535,9.11345377971884e-05,0,0.000125373375340132,0.000264695903751999,0.000280681735603139,0,0,0,7.08758943801513e-05,0.000243126240093261,0,0.000139236932227504,0.000136522729007993
4,0.0177466780878603,0.008690852439031,0.0152817107737064,0.0025543334777467,0.00727778766304255,0.00763794453814626,0.00763794453814626,0.00667901209089905,0.0114526310935616,0.00242083222838119,0,0.00271814034749696,0.00400780537165701,0.011916636954993,0.00169305404415354,0.00701602618210018,0.00667901209089905,0.00567990355193615,0.00511726387776434,0.00699503649957478,0.0122728970018215,0,0,0.00699650810565799,0,0,0.0120278794784099,0.00242083222838119,0.000167849222634686,0.000706492457538843,0.000852826939080842,0.000271489967417438,0.00605275179259479,0.000188941727174097,7.79881847847719e-05,0.000349663670931477,0,0.000300007719488349,0,0.000131996363052167,0.000196038035937818,0.000530872232047841,0,0.00162441478460096,0.00121998024405912,0.000110103468614398,0.000265470581950922,0,7.66487116834469e-05,0
5,0,0.0100208129733801,0.0146080111153424,0.0104783813003451,0.0133647215552628,0.0116430388297886,0.0116430388297886,0.0103048207238317,0,0.00768453953787684,0.014398121740669,0.00476004113443196,0,0.00285115640144795,0.00485227769240737,0.00401302275713533,0.0103048207238317,0.0146144414320588,0.00429381709545851,0.00365911866538227,0.0115121630951762,0.0163907837122679,0.00394798477645963,0.0123407563660294,0.0151229919865727,0.0134209021925926,0.00284380093216896,0.00768453953787684,0,0,0.000250248238444328,0.000423776800744236,0.00361214605800342,0.000147796919918619,0.000221925132791512,0,0.000139347277581692,0.000248635653406382,0,9.67226449688496e-05,0.000248107739025727,0.000663691462250426,0,0.00478506297804415,0.00111054876470007,0.00012710092778434,0.000182877796760295,0,0,0
6,0,0.01200579572469,0.015039871679619,0,0.0114133707247674,0,0,0,0,0.0024880706332624,0.0143682453781366,0.0149764982052147,0.0122344554401934,0.0113582892809063,0.0120229043532163,0.00498484331183136,0,0.00895432103425264,0.0144200085196644,0.00593733252026141,0.0146732367575169,0.0177457556128502,0,0,0.0150064451154321,0.0151333333924413,0.0113612620625645,0.0024880706332624,0.000153769362441381,0.00111387620563619,0.00105013119173236,0.00141339917900041,0,0.000256260427704547,0.000172163967363304,0.000629554320767056,0.000143256202136399,0.000303936234558932,0.000203688949113712,0.000372913935279939,0.000333191070239991,0,0.00817571324296296,0.00358334899647161,0.00205122877378017,7.31226791685913e-05,0,0,0.000746303267078474,0.000416509152273647
7,0,0.0080840599257499,0.0255900314077735,0.0159892609808594,0.0210273619741201,0.00767007586546242,0.00767007586546242,0.0100158740533516,0.00856330548413098,0.00405150772712659,0.00602822285145521,0.00905550108291209,0.0169689417816699,0.00396506567449251,0.00738736207131296,0.0135172023437917,0.0100158740533516,0.00772106857039034,0,0.0138307921588421,0.0234372075647116,0.00523516116663814,0.00993889756500721,0.0159673127345741,0.00629868032410741,0.00585423223674297,0.00395515608761343,0.00405150772712659,0.000247599149588495,0.00103297528403345,0.000505776188219897,0.0011074811918661,0.00315156218130141,0,0.000198779736820143,0.000518628812642419,0.000253103557042778,0,0.000249467651883606,0.000417444869526662,0,0.00073371719190618,0,0.00193027581553906,0.00279595263418742,0.000229561235755682,0.000518575994647108,0,0.000428239145549014,0
8,0.00348059505267884,0.00706255645491183,0,0.00491029443219304,0.000355573553861177,0.00671289535239339,0.00671289535239339,0.00580280926078558,0.0137796658091247,0,0.0051980919088237,0,0,0.00876561086624861,0,0,0.00580280926078558,0.00354448356665671,0.00897095119580626,0,0,0.00523313495796174,0.00972271035425365,0,0.00545238895574585,0.00585585407679901,0.00877455528825521,0,0.00018523804465076,0.00117906322702765,0.00130230869399384,0.000954485120018944,0,0.000214934807445388,0.000223304057726637,0,0.000215265070437454,0.000281513363006525,0,0.00019521056310623,0.000521694324561395,0.00130619635456242,0.00384344707708806,0,0.00135720521575422,0,0.00062339144096768,0,0.00060956971719861,0.000570762524148449
9,0.0074687716551125,0,0.0126018566079438,0.0131842596456409,0.0190728870220482,0,0,0,0.00908833276480436,0.01165412645787,0.0182968499138951,0.0128730335272849,0.025535898283124,0.0160984268877655,0.0262429211288691,0.0244859950616956,0,0,0.021555358543992,0.0248898966237903,0.00896974746137857,0.0198207055218518,0.0182039742358029,0.0175908426754177,0.0191365927457809,0.0178076894953847,0.0162416135426611,0.01165412645787,0.000343871317454614,0.00232916441746056,0.00203943802625872,0.00168816780205816,0.00669199763797224,0,0,0,0,0,0.00056725533795543,0.00054636737331748,0.000448212296760175,0.00137705268571153,0.00918827368877828,0.00350201735273004,0.00283028616104275,0.000186272976861801,0.000904492102563381,0,0.00107122055487707,0
10,0.0109782558865845,0,0,0.00912654772400856,0.0177475023083389,0,0,0,0.0102270988281816,0.00628595543093979,0.0131270638667047,0.00945934513583779,0.0129101574420929,0.0107003659941256,0.012857012450695,0.0107860867865384,0,0.0128705721581355,0.00726786954328418,0.0115656172856688,0,0.0193341840058565,0.00748789310455322,0.00830418802797794,0.0136282898019999,0.0146292289718986,0.010595568921417,0.00628595543093979,0.000229231547564268,0.00117605546256527,0.00162845995509997,0.000824597242171876,0,0.000286940114165191,0,0.00040693292976357,0,0.000282057615550002,0.000177913636434823,0.000493220562930219,0.000288539073153515,0.000401523691834882,0,0,0,0.000199190439161612,0.000256312709097983,0,9.6698451670818e-05,0.000413721863878891
